name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
The Shining,,Drama,1980,"June 13, 1980 (United States)",8.4,927000.0,Stanley Kubrick,Stephen King,Jack Nicholson,United Kingdom,19000000.0,46998772.0,Warner Bros.,146.0
Indiana Jones and the Raiders of the Lost Ark,,Action,1981,"June 12, 1981 (United States)",8.4,905000.0,Steven Spielberg,Lawrence Kasdan,Harrison Ford,United States,18000000.0,389925971.0,Paramount Pictures,115.0
Fast Times at Ridgemont High,,Comedy,1982,"August 13, 1982 (United States)",7.2,98000.0,Amy Heckerling,Cameron Crowe,Sean Penn,United States,4500000.0,27092880.0,Universal Pictures,90.0
Scarface,,Crime,1983,"December 9, 1983 (United States)",8.3,766000.0,Brian De Palma,Oliver Stone,Al Pacino,United States,25000000.0,65884703.0,Universal Pictures,170.0
The Terminator,,Action,1984,"October 26, 1984 (United States)",8.0,812000.0,James Cameron,James Cameron,Arnold Schwarzenegger,United Kingdom,6400000.0,78371200.0,Cinema '84,107.0
Weird Science,,Comedy,1985,"August 2, 1985 (United States)",6.6,83000.0,John Hughes,John Hughes,Anthony Michael Hall,United States,7500000.0,38934048.0,Universal Pictures,94.0
Top Gun,,Action,1986,"May 16, 1986 (United States)",6.9,306000.0,Tony Scott,Jim Cash,Tom Cruise,United States,15000000.0,357288178.0,Paramount Pictures,110.0
The Princess Bride,,Adventure,1987,"October 9, 1987 (United States)",8.1,402000.0,Rob Reiner,William Goldman,Cary Elwes,United Kingdom,16000000.0,30902642.0,Act III Communications,98.0
Die Hard,,Action,1988,"July 20, 1988 (United States)",8.2,810000.0,John McTiernan,Roderick Thorp,Bruce Willis,United States,28000000.0,141603197.0,Twentieth Century Fox,132.0
Indiana Jones and the Last Crusade,,Action,1989,"May 24, 1989 (United States)",8.2,707000.0,Steven Spielberg,Jeffrey Boam,Harrison Ford,United States,48000000.0,474171806.0,Paramount Pictures,127.0
Goodfellas,,Biography,1990,"September 21, 1990 (United States)",8.7,1100000.0,Martin Scorsese,Nicholas Pileggi,Robert De Niro,United States,25000000.0,46963277.0,Warner Bros.,146.0
Terminator 2: Judgment Day,,Action,1991,"July 3, 1991 (United States)",8.5,1000000.0,James Cameron,James Cameron,Arnold Schwarzenegger,United States,102000000.0,520881154.0,Carolco Pictures,137.0
Reservoir Dogs,,Crime,1992,"September 2, 1992 (France)",8.3,943000.0,Quentin Tarantino,Quentin Tarantino,Harvey Keitel,United States,1200000.0,2913644.0,Live Entertainment,99.0
Tombstone,,Action,1993,"December 25, 1993 (United States)",7.8,132000.0,George P. Cosmatos,Kevin Jarre,Kurt Russell,United States,25000000.0,56505065.0,Hollywood Pictures,130.0
The Shawshank Redemption,,Drama,1994,"October 14, 1994 (United States)",9.3,2400000.0,Frank Darabont,Stephen King,Tim Robbins,United States,25000000.0,28817291.0,Castle Rock Entertainment,142.0
Heat,,Crime,1995,"December 15, 1995 (United States)",8.2,596000.0,Michael Mann,Michael Mann,Al Pacino,United States,60000000.0,187436818.0,Warner Bros.,170.0
Space Jam,,Animation,1996,"November 15, 1996 (United States)",6.5,175000.0,Joe Pytka,Leo Benvenuti,Michael Jordan,United States,80000000.0,230418342.0,Warner Bros. Family Entertainment,88.0
