Ovr,Name,POS,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
40,Dillon Gabriel,QB,CLV,,35.0,,36.0,,,,,,,,,,,,,,
1,Josh Allen,QB,BUF,1.0,24.0,5.0,7.0,,,,,,,,,,,,,,
54,Anthony Richardson,QB,IND,,,41.0,,,,,,,,,,,,,,,
39,Andy Dalton,QB,CAR,,,41.0,30.0,,,,,,,,,,,,,,
14,Bo Nix,QB,DEN,26.0,11.0,18.0,6.0,,,,,,,,,,,,,,
5,Jalen Hurts,QB,PHI,8.0,27.0,1.0,14.0,,,,,,,,,,,,,,
30,Marcus Mariota,QB,WAS,,,6.0,19.0,,,,,,,,,,,,,,
19,Spencer Rattler,QB,NO,23.0,10.0,21.0,20.0,,,,,,,,,,,,,,
11,Dak Prescott,QB,DAL,29.0,7.0,26.0,1.0,,,,,,,,,,,,,,
6,Caleb Williams,QB,CHI,9.0,19.0,2.0,23.0,,,,,,,,,,,,,,
2,Lamar Jackson,QB,BLT,4.0,3.0,3.0,21.0,,,,,,,,,,,,,,
51,Jacoby Brissett,QB,ARZ,,39.0,,,,,,,,,,,,,,,,
47,Joe Milton III,QB,DAL,,,35.0,,,,,,,,,,,,,,,
52,Brett Rypien,QB,CIN,,,39.0,,,,,,,,,,,,,,,
4,Drake Maye,QB,NE,18.0,3.0,7.0,8.0,,,,,,,,,,,,,,
57,Gardner Minshew,QB,KC,,,,39.0,,,,,,,,,,,,,,
16,Justin Fields,QB,NYJ,2.0,33.0,,4.0,,,,,,,,,,,,,,
44,Max Brosmer,QB,MIN,,,33.0,,,,,,,,,,,,,,,
41,Tyson Bagent,QB,CHI,,36.0,,,,,,,,,,,,,,,,
28,Mac Jones,QB,SF,,6.0,15.0,,,,,,,,,,,,,,,
21,Sam Darnold,QB,SEA,30.0,20.0,10.0,17.0,,,,,,,,,,,,,,
42,Cooper Rush,QB,BLT,,42.0,,34.0,,,,,,,,,,,,,,
31,Carson Wentz,QB,MIN,,,13.0,9.0,,,,,,,,,,,,,,
55,Joshua Dobbs,QB,NE,,,,37.0,,,,,,,,,,,,,,
46,Mitch Trubisky,QB,BUF,,37.0,,,,,,,,,,,,,,,,
15,Kyler Murray,QB,ARZ,16.0,22.0,16.0,16.0,,,,,,,,,,,,,,
33,Cam Ward,QB,TEN,32.0,24.0,20.0,31.0,,,,,,,,,,,,,,
3,Patrick Mahomes,QB,KC,6.0,7.0,19.0,3.0,,,,,,,,,,,,,,
48,Mason Rudolph,QB,PIT,,38.0,,,,,,,,,,,,,,,,
20,Bryce Young,QB,CAR,21.0,5.0,27.0,29.0,,,,,,,,,,,,,,
25,Trevor Lawrence,QB,JAX,24.0,11.0,28.0,28.0,,,,,,,,,,,,,,
13,Jared Goff,QB,DET,22.0,1.0,21.0,21.0,,,,,,,,,,,,,,
9,Jordan Love,QB,GB,17.0,13.0,25.0,2.0,,,,,,,,,,,,,,
29,Jayden Daniels,QB,WAS,13.0,21.0,,,,,,,,,,,,,,,,
35,J.J. McCarthy,QB,MIN,12.0,31.0,,,,,,,,,,,,,,,,
17,Geno Smith,QB,LV,15.0,32.0,4.0,23.0,,,,,,,,,,,,,,
43,Zach Wilson,QB,MIA,33.0,,,,,,,,,,,,,,,,,
26,Russell Wilson,QB,NYG,25.0,2.0,30.0,35.0,,,,,,,,,,,,,,
7,Daniel Jones,QB,IND,2.0,9.0,11.0,27.0,,,,,,,,,,,,,,
22,Tua Tagovailoa,QB,MIA,31.0,17.0,17.0,18.0,,,,,,,,,,,,,,
52,Tyler Shough,QB,NO,,,39.0,,,,,,,,,,,,,,,
55,Kyle Allen,QB,DET,,40.0,,37.0,,,,,,,,,,,,,,
17,Aaron Rodgers,QB,PIT,7.0,28.0,21.0,23.0,,,,,,,,,,,,,,
34,Jake Browning,QB,CIN,,15.0,29.0,32.0,,,,,,,,,,,,,,
38,Joe Burrow,QB,CIN,28.0,30.0,,,,,,,,,,,,,,,,
12,Matthew Stafford,QB,LA,20.0,18.0,14.0,5.0,,,,,,,,,,,,,,
48,Drew Lock,QB,SEA,,,36.0,,,,,,,,,,,,,,,
27,Brock Purdy,QB,SF,14.0,,,12.0,,,,,,,,,,,,,,
8,Baker Mayfield,QB,TB,11.0,16.0,9.0,10.0,,,,,,,,,,,,,,
32,Joe Flacco,QB,CLV,19.0,24.0,32.0,33.0,,,,,,,,,,,,,,
24,Michael Penix Jr.,QB,ATL,10.0,34.0,31.0,12.0,,,,,,,,,,,,,,
44,Kirk Cousins,QB,ATL,,,33.0,,,,,,,,,,,,,,,
37,Jaxson Dart,QB,NYG,,41.0,37.0,11.0,,,,,,,,,,,,,,
50,Jalen Milroe,QB,SEA,34.0,,37.0,,,,,,,,,,,,,,,
10,Justin Herbert,QB,LAC,5.0,14.0,12.0,26.0,,,,,,,,,,,,,,
23,C.J. Stroud,QB,HST,27.0,22.0,24.0,15.0,,,,,,,,,,,,,,
35,Tyrod Taylor,QB,NYJ,,29.0,8.0,,,,,,,,,,,,,,,
34,Nick Chubb,RB,HST,37.0,19.0,39.0,42.0,,,,,,,,,,,,,,
33,TreVeyon Henderson,RB,NE,25.0,40.0,36.0,24.0,,,,,,,,,,,,,,
97,Devin Neal,RB,NO,73.0,,,,,,,,,,,,,,,,,
60,Austin Ekeler,RB,WAS,29.0,46.0,,,,,,,,,,,,,,,,
40,Miles Sanders,RB,DAL,37.0,31.0,33.0,51.0,,,,,,,,,,,,,,
58,Ollie Gordon II,RB,MIA,66.0,59.0,27.0,70.0,,,,,,,,,,,,,,
99,Dameon Pierce,RB,HST,76.0,,,,,,,,,,,,,,,,,
103,Michael Carter,RB,ARZ,,,,76.0,,,,,,,,,,,,,,
27,Jaylen Warren,RB,PIT,19.0,13.0,19.0,,,,,,,,,,,,,,,
104,Cooper DeJean,RB,PHI,84.0,76.0,,,,,,,,,,,,,,,,
4,Bijan Robinson,RB,ATL,2.0,6.0,12.0,5.0,,,,,,,,,,,,,,
20,D'Andre Swift,RB,CHI,28.0,16.0,24.0,20.0,,,,,,,,,,,,,,
68,Isaiah Davis,RB,NYJ,63.0,65.0,77.0,50.0,,,,,,,,,,,,,,
28,Tony Pollard,RB,TEN,27.0,32.0,16.0,33.0,,,,,,,,,,,,,,
98,Hunter Luepke,RB,DAL,84.0,76.0,77.0,72.0,,,,,,,,,,,,,,
92,Tahj Brooks,RB,CIN,,,69.0,,,,,,,,,,,,,,,
72,LeQuint Allen,RB,JAX,60.0,67.0,67.0,62.0,,,,,,,,,,,,,,
85,Ray Davis,RB,BUF,69.0,58.0,77.0,75.0,,,,,,,,,,,,,,
5,Jahmyr Gibbs,RB,DET,13.0,7.0,3.0,15.0,,,,,,,,,,,,,,
104,Jakob Johnson,RB,HST,84.0,76.0,77.0,,,,,,,,,,,,,,,
53,Jerome Ford,RB,CLV,64.0,27.0,51.0,64.0,,,,,,,,,,,,,,
36,Trey Benson,RB,ARZ,30.0,35.0,34.0,34.0,,,,,,,,,,,,,,
66,Chris Rodriguez Jr.,RB,WAS,,,55.0,47.0,,,,,,,,,,,,,,
84,Dylan Laube,RB,LV,,51.0,75.0,,,,,,,,,,,,,,,
8,Bucky Irving,RB,TB,15.0,11.0,16.0,7.0,,,,,,,,,,,,,,
104,Robbie Ouzts,RB,SEA,84.0,76.0,77.0,,,,,,,,,,,,,,,
78,Trevor Etienne,RB,CAR,78.0,68.0,77.0,54.0,,,,,,,,,,,,,,
79,Nate Carter,RB,ATL,,76.0,52.0,,,,,,,,,,,,,,,
54,Aaron Jones,RB,MIN,12.0,59.0,,,,,,,,,,,,,,,,
