"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"40","Dillon Gabriel","CLV","","35","","36","","","","","","","","","","","","","",""
"1","Josh Allen","BUF","1","24","5","7","","","","","","","","","","","","","",""
"54","Anthony Richardson","IND","","","41","","","","","","","","","","","","","","",""
"39","Andy Dalton","CAR","","","41","30","","","","","","","","","","","","","",""
"14","Bo Nix","DEN","26","11","18","6","","","","","","","","","","","","","",""
"5","Jalen Hurts","PHI","8","27","1","14","","","","","","","","","","","","","",""
"30","Marcus Mariota","WAS","","","6","19","","","","","","","","","","","","","",""
"19","Spencer Rattler","NO","23","10","21","20","","","","","","","","","","","","","",""
"11","Dak Prescott","DAL","29","7","26","1","","","","","","","","","","","","","",""
"6","Caleb Williams","CHI","9","19","2","23","","","","","","","","","","","","","",""
"2","Lamar Jackson","BLT","4","3","3","21","","","","","","","","","","","","","",""
"51","Jacoby Brissett","ARZ","","39","","","","","","","","","","","","","","","",""
"47","Joe Milton III","DAL","","","35","","","","","","","","","","","","","","",""
"52","Brett Rypien","CIN","","","39","","","","","","","","","","","","","","",""
"4","Drake Maye","NE","18","3","7","8","","","","","","","","","","","","","",""
"57","Gardner Minshew","KC","","","","39","","","","","","","","","","","","","",""
"16","Justin Fields","NYJ","2","33","","4","","","","","","","","","","","","","",""
"44","Max Brosmer","MIN","","","33","","","","","","","","","","","","","","",""
"41","Tyson Bagent","CHI","","36","","","","","","","","","","","","","","","",""
"28","Mac Jones","SF","","6","15","","","","","","","","","","","","","","",""
"21","Sam Darnold","SEA","30","20","10","17","","","","","","","","","","","","","",""
"42","Cooper Rush","BLT","","42","","34","","","","","","","","","","","","","",""
"31","Carson Wentz","MIN","","","13","9","","","","","","","","","","","","","",""
"55","Joshua Dobbs","NE","","","","37","","","","","","","","","","","","","",""
"46","Mitch Trubisky","BUF","","37","","","","","","","","","","","","","","","",""
"15","Kyler Murray","ARZ","16","22","16","16","","","","","","","","","","","","","",""
"33","Cam Ward","TEN","32","24","20","31","","","","","","","","","","","","","",""
"3","Patrick Mahomes","KC","6","7","19","3","","","","","","","","","","","","","",""
"48","Mason Rudolph","PIT","","38","","","","","","","","","","","","","","","",""
"20","Bryce Young","CAR","21","5","27","29","","","","","","","","","","","","","",""
"25","Trevor Lawrence","JAX","24","11","28","28","","","","","","","","","","","","","",""
"13","Jared Goff","DET","22","1","21","21","","","","","","","","","","","","","",""
"9","Jordan Love","GB","17","13","25","2","","","","","","","","","","","","","",""
"29","Jayden Daniels","WAS","13","21","","","","","","","","","","","","","","","",""
"35","J.J. McCarthy","MIN","12","31","","","","","","","","","","","","","","","",""
"17","Geno Smith","LV","15","32","4","23","","","","","","","","","","","","","",""
"43","Zach Wilson","MIA","33","","","","","","","","","","","","","","","","",""
"26","Russell Wilson","NYG","25","2","30","35","","","","","","","","","","","","","",""
"7","Daniel Jones","IND","2","9","11","27","","","","","","","","","","","","","",""
"22","Tua Tagovailoa","MIA","31","17","17","18","","","","","","","","","","","","","",""
"52","Tyler Shough","NO","","","39","","","","","","","","","","","","","","",""
"55","Kyle Allen","DET","","40","","37","","","","","","","","","","","","","",""
"17","Aaron Rodgers","PIT","7","28","21","23","","","","","","","","","","","","","",""
"34","Jake Browning","CIN","","15","29","32","","","","","","","","","","","","","",""
"38","Joe Burrow","CIN","28","30","","","","","","","","","","","","","","","",""
"12","Matthew Stafford","LA","20","18","14","5","","","","","","","","","","","","","",""
"48","Drew Lock","SEA","","","36","","","","","","","","","","","","","","",""
"27","Brock Purdy","SF","14","","","12","","","","","","","","","","","","","",""
"8","Baker Mayfield","TB","11","16","9","10","","","","","","","","","","","","","",""
"32","Joe Flacco","CLV","19","24","32","33","","","","","","","","","","","","","",""
"24","Michael Penix Jr.","ATL","10","34","31","12","","","","","","","","","","","","","",""
"44","Kirk Cousins","ATL","","","33","","","","","","","","","","","","","","",""
"37","Jaxson Dart","NYG","","41","37","11","","","","","","","","","","","","","",""
"50","Jalen Milroe","SEA","34","","37","","","","","","","","","","","","","","",""
"10","Justin Herbert","LAC","5","14","12","26","","","","","","","","","","","","","",""
"23","C.J. Stroud","HST","27","22","24","15","","","","","","","","","","","","","",""
"35","Tyrod Taylor","NYJ","","29","8","","","","","","","","","","","","","","",""
