"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"34","Nick Chubb","HST","37","19","39","42","","","","","","","","","","","","","",""
"33","TreVeyon Henderson","NE","25","40","36","24","","","","","","","","","","","","","",""
"97","Devin Neal","NO","73","","","","","","","","","","","","","","","","",""
"60","Austin Ekeler","WAS","29","46","","","","","","","","","","","","","","","",""
"40","Miles Sanders","DAL","37","31","33","51","","","","","","","","","","","","","",""
"58","Ollie Gordon II","MIA","66","59","27","70","","","","","","","","","","","","","",""
"99","Dameon Pierce","HST","76","","","","","","","","","","","","","","","","",""
"103","Michael Carter","ARZ","","","","76","","","","","","","","","","","","","",""
"27","Jaylen Warren","PIT","19","13","19","","","","","","","","","","","","","","",""
"104","Cooper DeJean","PHI","84","76","","","","","","","","","","","","","","","",""
"4","Bijan Robinson","ATL","2","6","12","5","","","","","","","","","","","","","",""
"20","D'Andre Swift","CHI","28","16","24","20","","","","","","","","","","","","","",""
"68","Isaiah Davis","NYJ","63","65","77","50","","","","","","","","","","","","","",""
"28","Tony Pollard","TEN","27","32","16","33","","","","","","","","","","","","","",""
"98","Hunter Luepke","DAL","84","76","77","72","","","","","","","","","","","","","",""
"92","Tahj Brooks","CIN","","","69","","","","","","","","","","","","","","",""
"72","LeQuint Allen","JAX","60","67","67","62","","","","","","","","","","","","","",""
"85","Ray Davis","BUF","69","58","77","75","","","","","","","","","","","","","",""
"5","Jahmyr Gibbs","DET","13","7","3","15","","","","","","","","","","","","","",""
"104","Jakob Johnson","HST","84","76","77","","","","","","","","","","","","","","",""
"53","Jerome Ford","CLV","64","27","51","64","","","","","","","","","","","","","",""
"36","Trey Benson","ARZ","30","35","34","34","","","","","","","","","","","","","",""
"66","Chris Rodriguez Jr.","WAS","","","55","47","","","","","","","","","","","","","",""
"84","Dylan Laube","LV","","51","75","","","","","","","","","","","","","","",""
"8","Bucky Irving","TB","15","11","16","7","","","","","","","","","","","","","",""
"104","Robbie Ouzts","SEA","84","76","77","","","","","","","","","","","","","","",""
"78","Trevor Etienne","CAR","78","68","77","54","","","","","","","","","","","","","",""
"79","Nate Carter","ATL","","76","52","","","","","","","","","","","","","","",""
"54","Aaron Jones","MIN","12","59","","","","","","","","","","","","","","","",""
"68","Brashard Smith","KC","84","74","71","45","","","","","","","","","","","","","",""
"104","Brady Russell","SEA","","","77","77","","","","","","","","","","","","","",""
"63","Kyle Monangai","CHI","60","45","58","61","","","","","","","","","","","","","",""
"79","AJ Dillon","PHI","72","63","77","62","","","","","","","","","","","","","",""
"104","Andrew Beck","NYJ","84","76","77","77","","","","","","","","","","","","","",""
"3","Jonathan Taylor","IND","23","1","1","21","","","","","","","","","","","","","",""
"87","Will Shipley","PHI","52","","","77","","","","","","","","","","","","","",""
"41","Dylan Sampson","CLV","9","26","75","93","","","","","","","","","","","","","",""
"48","Zavier Scott","MIN","","","45","18","","","","","","","","","","","","","",""
"77","Samaje Perine","CIN","52","76","65","73","","","","","","","","","","","","","",""
"16","Chuba Hubbard","CAR","8","10","28","38","","","","","","","","","","","","","",""
"57","Antonio Gibson","NE","80","50","59","39","","","","","","","","","","","","","",""
"24","Jordan Mason","MIN","30","41","7","35","","","","","","","","","","","","","",""
"82","Alec Ingold","MIA","69","54","77","77","","","","","","","","","","","","","",""
"10","Travis Etienne Jr.","JAX","6","15","22","13","","","","","","","","","","","","","",""
"104","Reggie Gilliam","BUF","84","76","77","77","","","","","","","","","","","","","",""
"79","Dare Ogunbowale","HST","46","76","","77","","","","","","","","","","","","","",""
"67","Raheem Mostert","LV","","","","41","","","","","","","","","","","","","",""
