"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"12","Mark Andrews","BLT","48","54","2","17","","","","","","","","","","","","","",""
"84","Cameron Latu","PHI","","57","58","57","","","","","","","","","","","","","",""
"30","Ja'Tavion Sanders","CAR","30","6","40","","","","","","","","","","","","","","",""
"24","Chigoziem Okonkwo","TEN","29","20","8","52","","","","","","","","","","","","","",""
"84","Benjamin Yurosek","MIN","61","57","58","","","","","","","","","","","","","","",""
"84","Stephen Carlson","CHI","","","","57","","","","","","","","","","","","","",""
"82","Brevyn Spann-Ford","DAL","61","55","58","57","","","","","","","","","","","","","",""
"65","Tip Reiman","ARZ","44","","41","57","","","","","","","","","","","","","",""
"56","Luke Musgrave","GB","52","32","58","51","","","","","","","","","","","","","",""
"37","Luke Farrell","SF","52","13","58","33","","","","","","","","","","","","","",""
"52","Josh Oliver","MIN","48","57","17","57","","","","","","","","","","","","","",""
"46","Jack Stoll","NO","61","57","11","50","","","","","","","","","","","","","",""
"84","Zaire Mitchell-Paden","BLT","61","57","58","57","","","","","","","","","","","","","",""
"51","John FitzPatrick","GB","57","57","14","57","","","","","","","","","","","","","",""
"84","Moliki Matavao","NO","61","57","","57","","","","","","","","","","","","","",""
"84","Andrew Ogletree","IND","61","57","58","57","","","","","","","","","","","","","",""
"42","Oronde Gadsden II","LAC","","","13","37","","","","","","","","","","","","","",""
"55","Tyler Conklin","LAC","23","57","58","53","","","","","","","","","","","","","",""
"19","Dalton Schultz","HST","26","28","16","21","","","","","","","","","","","","","",""
"84","Teagan Quitoriano","ATL","61","57","58","57","","","","","","","","","","","","","",""
"54","Cade Otton","TB","61","31","58","34","","","","","","","","","","","","","",""
"4","Tyler Warren","IND","3","7","24","2","","","","","","","","","","","","","",""
"84","Jack Westover","NE","61","57","58","57","","","","","","","","","","","","","",""
"13","Travis Kelce","KC","8","10","26","18","","","","","","","","","","","","","",""
"36","Mitchell Evans","CAR","61","43","45","12","","","","","","","","","","","","","",""
"74","Kylen Granson","PHI","60","51","58","57","","","","","","","","","","","","","",""
"25","Tommy Tremble","CAR","57","34","37","6","","","","","","","","","","","","","",""
"78","Chris Manhertz","NYG","61","57","47","57","","","","","","","","","","","","","",""
"27","Hunter Long","JAX","21","57","39","12","","","","","","","","","","","","","",""
"84","John Bates","WAS","61","57","","","","","","","","","","","","","","","",""
"40","Pat Freiermuth","PIT","26","27","50","57","","","","","","","","","","","","","",""
"84","Colson Yankoff","WAS","61","57","58","57","","","","","","","","","","","","","",""
"42","Elijah Arroyo","SEA","46","33","58","26","","","","","","","","","","","","","",""
"45","Tyler Higbee","LA","61","17","58","30","","","","","","","","","","","","","",""
"84","Treyton Welch","NO","","","58","","","","","","","","","","","","","","",""
"49","Michael Mayer","LV","20","39","58","","","","","","","","","","","","","","",""
"44","George Kittle","SF","10","","","","","","","","","","","","","","","","",""
"8","Kyle Pitts","ATL","7","17","19","3","","","","","","","","","","","","","",""
"60","Tanner Conner","MIA","33","57","42","57","","","","","","","","","","","","","",""
"46","Brock Wright","DET","61","8","58","57","","","","","","","","","","","","","",""
"34","Adam Trautman","DEN","48","11","58","28","","","","","","","","","","","","","",""
"28","Mason Taylor","NYJ","38","51","28","11","","","","","","","","","","","","","",""
"78","Ben Sinnott","WAS","61","46","58","57","","","","","","","","","","","","","",""
"65","Mo Alie-Cox","IND","38","45","58","57","","","","","","","","","","","","","",""
"10","Dallas Goedert","PHI","14","","10","1","","","","","","","","","","","","","",""
"20","AJ Barner","SEA","57","9","38","8","","","","","","","","","","","","","",""
"84","Robert Tonyan","KC","61","57","58","57","","","","","","","","","","","","","",""
"18","T.J. Hockenson","MIN","31","41","5","22","","","","","","","","","","","","","",""
"84","Travis Vokolek","ARZ","61","57","","","","","","","","","","","","","","","",""
"50","Mike Gesicki","CIN","42","36","50","49","","","","","","","","","","","","","",""
"39","Evan Engram","DEN","28","41","","24","","","","","","","","","","","","","",""
"81","Cam Grandy","CIN","","","50","57","","","","","","","","","","","","","",""
"62","Cade Stover","HST","25","","","","","","","","","","","","","","","","",""
"84","Payne Durham","TB","61","57","58","57","","","","","","","","","","","","","",""
"72","James Mitchell","CAR","","","","35","","","","","","","","","","","","","",""
"84","Blake Whiteheart","CLV","61","57","58","57","","","","","","","","","","","","","",""
"68","Julian Hill","MIA","61","57","55","41","","","","","","","","","","","","","",""
"38","Jeremy Ruckert","NYJ","36","20","58","39","","","","","","","","","","","","","",""
"77","Connor Heyward","PIT","61","49","58","56","","","","","","","","","","","","","",""
"84","Ross Dwelley","DET","","","58","57","","","","","","","","","","","","","",""
"41","Gunnar Helm","TEN","41","39","29","48","","","","","","","","","","","","","",""
"23","Noah Fant","CIN","9","29","21","","","","","","","","","","","","","","",""
"84","Tucker Fisk","LAC","","","58","57","","","","","","","","","","","","","",""
"84","Stone Smartt","NYJ","","","","57","","","","","","","","","","","","","",""
"84","Brayden Willis","SF","","57","58","57","","","","","","","","","","","","","",""
"53","Elijah Higgins","ARZ","55","26","47","57","","","","","","","","","","","","","",""
"70","Charlie Kolar","BLT","61","57","34","57","","","","","","","","","","","","","",""
"84","Durham Smythe","CHI","61","57","58","57","","","","","","","","","","","","","",""
"84","David Martin-Robinson","TEN","61","","58","","","","","","","","","","","","","","",""
"14","Brenton Strange","JAX","17","37","7","16","","","","","","","","","","","","","",""
"67","Will Dissly","LAC","40","46","","","","","","","","","","","","","","","",""
"68","Luke Schoonmaker","DAL","61","57","54","42","","","","","","","","","","","","","",""
"33","Austin Hooper","NE","44","24","32","38","","","","","","","","","","","","","",""
"1","Jake Ferguson","DAL","22","3","3","5","","","","","","","","","","","","","",""
"58","Dawson Knox","BUF","33","38","58","57","","","","","","","","","","","","","",""
"29","Theo Johnson","NYG","48","22","44","14","","","","","","","","","","","","","",""
"84","Shane Zylstra","DET","61","","","","","","","","","","","","","","","","",""
"26","Cole Kmet","CHI","32","35","18","23","","","","","","","","","","","","","",""
"84","Terrance Ferguson","LA","","57","","","","","","","","","","","","","","","",""
"84","Ko Kieft","TB","61","57","58","","","","","","","","","","","","","","",""
"2","Hunter Henry","NE","15","43","1","10","","","","","","","","","","","","","",""
"84","Harrison Bryant","HST","","57","58","57","","","","","","","","","","","","","",""
"15","Jake Tonges","SF","16","23","35","7","","","","","","","","","","","","","",""
"84","Nick Vannett","MIN","","","","57","","","","","","","","","","","","","",""
"84","Feleipe Franks","ATL","61","","","57","","","","","","","","","","","","","",""
"5","Tucker Kraft","GB","17","1","27","15","","","","","","","","","","","","","",""
"11","Zach Ertz","WAS","13","2","24","32","","","","","","","","","","","","","",""
"17","Harold Fannin Jr.","CLV","6","12","30","30","","","","","","","","","","","","","",""
"75","Nate Adkins","DEN","","","58","45","","","","","","","","","","","","","",""
"16","Sam LaPorta","DET","5","30","23","24","","","","","","","","","","","","","",""
"56","Noah Gray","KC","55","56","33","54","","","","","","","","","","","","","",""
"84","Tanner Hudson","CIN","","","","57","","","","","","","","","","","","","",""
"21","Jonnu Smith","PIT","10","25","31","43","","","","","","","","","","","","","",""
"22","David Njoku","CLV","24","15","15","40","","","","","","","","","","","","","",""
"6","Dalton Kincaid","BUF","4","17","4","18","","","","","","","","","","","","","",""
"84","Ian Thomas","LV","61","57","58","57","","","","","","","","","","","","","",""
"9","Brock Bowers","LV","2","14","20","20","","","","","","","","","","","","","",""
"83","Charlie Woerner","ATL","61","57","57","57","","","","","","","","","","","","","",""
"70","Grant Calcaterra","PHI","61","49","58","43","","","","","","","","","","","","","",""
"48","Drew Sample","CIN","61","46","12","57","","","","","","","","","","","","","",""
"76","Eric Saubert","SEA","61","57","43","57","","","","","","","","","","","","","",""
"84","Brenden Bates","HST","","","","57","","","","","","","","","","","","","",""
"59","Colston Loveland","CHI","37","57","35","","","","","","","","","","","","","","",""
"84","Quintin Morris","JAX","","","","57","","","","","","","","","","","","","",""
"60","Daniel Bellinger","NYG","42","57","50","47","","","","","","","","","","","","","",""
"32","Darren Waller","MIA","","","","4","","","","","","","","","","","","","",""
"84","Isaiah Likely","BLT","","","","57","","","","","","","","","","","","","",""
"31","Davis Allen","LA","19","16","56","55","","","","","","","","","","","","","",""
"78","Johnny Mundt","JAX","61","57","47","57","","","","","","","","","","","","","",""
"35","Jackson Hawes","BUF","35","51","22","45","","","","","","","","","","","","","",""
"7","Juwan Johnson","NO","1","4","9","27","","","","","","","","","","","","","",""
"2","Trey McBride","ARZ","12","5","6","8","","","","","","","","","","","","","",""
"64","Darnell Washington","PIT","61","57","58","29","","","","","","","","","","","","","",""
"63","Colby Parkinson","LA","52","","58","35","","","","","","","","","","","","","",""
"73","Lucas Krull","DEN","47","57","45","","","","","","","","","","","","","","",""
