"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"7","Jaxon Smith-Njigba","SEA","8","13","8","25","","","","","","","","","","","","","",""
"11","Tre Tucker","LV","24","78","1","73","","","","","","","","","","","","","",""
"133","Tyrell Shavers","BUF","118","123","76","114","","","","","","","","","","","","","",""
"158","Xavier Weaver","ARZ","","","","114","","","","","","","","","","","","","",""
"116","Jaylin Lane","WAS","95","119","119","78","","","","","","","","","","","","","",""
"42","Jameson Williams","DET","57","12","57","61","","","","","","","","","","","","","",""
"158","LaJohntay Wester","BLT","","123","","114","","","","","","","","","","","","","",""
"58","Dyami Brown","JAX","45","16","92","","","","","","","","","","","","","","",""
"16","Zay Flowers","BLT","1","27","87","23","","","","","","","","","","","","","",""
"75","Darius Slayton","NYG","118","60","53","49","","","","","","","","","","","","","",""
"15","Justin Jefferson","MIN","20","38","29","8","","","","","","","","","","","","","",""
"144","Jake Bobo","SEA","","123","121","91","","","","","","","","","","","","","",""
"97","Tylan Wallace","BLT","118","44","121","95","","","","","","","","","","","","","",""
"68","Terry McLaurin","WAS","70","47","37","","","","","","","","","","","","","","",""
"142","Demarcus Robinson","SF","","","","85","","","","","","","","","","","","","",""
"158","Jahdae Walker","CHI","","","","114","","","","","","","","","","","","","",""
"45","Calvin Austin III","PIT","16","95","30","82","","","","","","","","","","","","","",""
"158","Jalen Cropper","DAL","","","","114","","","","","","","","","","","","","",""
"93","Darnell Mooney","ATL","","85","43","94","","","","","","","","","","","","","",""
"157","Derius Davis","LAC","117","123","120","","","","","","","","","","","","","","",""
"147","Tay Martin","WAS","","","","95","","","","","","","","","","","","","",""
"111","Ben Skowronek","PIT","41","123","121","114","","","","","","","","","","","","","",""
"5","Garrett Wilson","NYJ","7","53","2","10","","","","","","","","","","","","","",""
"151","Curtis Samuel","BUF","","","","100","","","","","","","","","","","","","",""
"90","Isaiah Bond","CLV","104","102","82","40","","","","","","","","","","","","","",""
"73","Luther Burden III","CHI","115","112","10","105","","","","","","","","","","","","","",""
"71","Joshua Palmer","BUF","35","71","111","69","","","","","","","","","","","","","",""
"158","Russell Gage","SF","118","","","","","","","","","","","","","","","","",""
"158","Gunner Olszewski","NYG","","","121","","","","","","","","","","","","","","",""
"64","Matthew Golden","GB","84","112","38","30","","","","","","","","","","","","","",""
"117","Adam Thielen","MIN","118","82","121","84","","","","","","","","","","","","","",""
"89","Kendrick Bourne","SF","","72","47","91","","","","","","","","","","","","","",""
"54","Cooper Kupp","SEA","87","21","67","55","","","","","","","","","","","","","",""
"10","Deebo Samuel","WAS","6","17","69","11","","","","","","","","","","","","","",""
"158","Scott Miller","PIT","118","123","121","114","","","","","","","","","","","","","",""
"25","Chris Olave","NO","26","36","18","31","","","","","","","","","","","","","",""
"141","Tim Patrick","JAX","118","123","96","111","","","","","","","","","","","","","",""
"155","Bryce Oliver","TEN","99","123","","","","","","","","","","","","","","","",""
"49","Mike Evans","TB","38","43","27","","","","","","","","","","","","","","",""
"150","Skyy Moore","SF","118","123","102","114","","","","","","","","","","","","","",""
"151","Tai Felton","MIN","","","104","","","","","","","","","","","","","","",""
"59","DeAndre Hopkins","BLT","33","29","99","114","","","","","","","","","","","","","",""
"57","Tee Higgins","CIN","59","28","98","60","","","","","","","","","","","","","",""
"158","Charlie Jones","CIN","","123","121","","","","","","","","","","","","","","",""
"33","Tetairoa McMillan","CAR","30","21","47","33","","","","","","","","","","","","","",""
"144","David Moore","CAR","118","123","111","108","","","","","","","","","","","","","",""
"80","Jalen Tolbert","DAL","112","91","62","34","","","","","","","","","","","","","",""
"69","Travis Hunter","JAX","39","77","89","52","","","","","","","","","","","","","",""
"83","Elijah Moore","BUF","95","42","59","114","","","","","","","","","","","","","",""
"41","CeeDee Lamb","DAL","14","10","121","","","","","","","","","","","","","","",""
"36","Rashid Shaheed","NO","39","26","44","38","","","","","","","","","","","","","",""
